Name	Price	Sale	Description	Size	Category	Picture						
"HALF-CUP SET ""LEA"""	€26,90		Neat set with satin and lace embellishment for tempting moments. Half-cup bra with padded cups. Straps and closure in the back are adjustable. Comes with matching suspender mini skirt with adjustable and detachable garter clips, ornamental lacing and two forming bones in the back. Colour: brown/black/rose. Shelf bra: 92% polyester, 8% elastane. Mini skirt: 50% polyamide, 40% polyester, 10% elastane. Without stockings. 	75B/S|85B/L|90B/XL	Sexy Bras							
"HALF-CUP SET ""VALERIE"""	€21,90		Smooth, shining premium satin, accentuated by beautiful lace details. Slightly padded, underwired ¼ cup bra and crotchless G-string. Red. 85% polyamide, 15% elastane. 	75B/S|80B/M|85B/L	Sexy Bras							
BASIC HALF-CUP BRA	€15,90		Slightly padded half-cup bra with adjustable straps and hook and eye closure. Black with delicate embroidery. 80% polyamide, 10% polyester, 10% elastane. 	75A|75B|80B	Sexy Bras							
RHINESTONE BRA SILVER	€32,90		Dazzling Punk Rhinestone Bra Lingerie of dear-lover features shining rhinestone decorated on the top cups which creates a striking vision sensation for people. Adjustable bra straps very flexible and offers a comfy fit to you. Fulfilled Punk Wind, nice top for Disco or stage performance. 	L|M 	Sexy Bras							
DISCO PARTY BRA GOLD / SILVER	€29,90		This Disco Party Metallic Punk Rivets Dance Bra features unique all-over spike stud design on bras. Looks quite amazing with stylish rivets adorned and surprise push up effect. A perfect sexy clubwear for you to go to clubs or parties. Absolutely perfect and comfortable for dancing. Material : polyester 	L|M|S	Sexy Bras							
COWGIRL KOMPLEKT (S)	€31,30	€9,90	Materjal: 96% puuvill 4% elastaan 	S 	Sexy Bras							
STAY UPS WITH LACES	€12,90		The black net stockings with red lace top. 	ONE	Stockings And Garters							
PUNAST VÄRVI SUKAD	€11,90		Crackling erotic! As red as love and as sinfully pleasant as temptation! These preformed suspender stockings are an erotic eyecatcher. With 8 cm wide lace top. Colour: red. Material: 95% polyamide, 5% elastane.	2|3|4|5	Stockings And Garters							
CHIC LACE TOP THIGH HIGH TRANSPARENT STOCKINGS	€9,90		Sleek touch, transparent look and exquisite design! This pair stockings with great care made is good elastic to fit any shape legs, and the see-through fabric makes female’s legs look more slender and sexier. The lace top adds feminine taste and extra sexy charm. Great stretch, novelty, sexy and long-lasting!	ONE	Stockings And Garters							
BACK SEAM FISHNET STOCKINGS	€6,90		Lycra lace top fishnet thigh highs with backseam and silicon top. It’s very breathable and cool to complete the ensemble. Fishnet stockings are retro and everlasting chic to show women’s long curvy legs that absoutely include this Back Seam Fishnet Stockings.	ONE	Stockings And Garters							
LACE TOP SHEER STOCKINGS WITH RIBBON	€6,90		Lace Top Sheer Stockings with Ribbon 	ONE	Stockings And Garters							
BLACK FAUX LEATHER WETLOOK VINYL FETISH STOCKINGS	€11,90		Many customers have found that Black Faux Leather WetLook Vinyl Fetish Stockings are great values. The smooth faux leather lights its shinny look and give it a perfect soft fit.  	ONE	Stockings And Garters							
RED FAUX LEATHER WETLOOK VINYL FETISH STOCKINGS	€11,90		Many customers have found that Black Faux Leather WetLook Vinyl Fetish Stockings are great values. The smooth faux leather lights its shinny look and give it a perfect soft fit. 	ONE	Stockings And Garters							
COTTELLI COLLECTION WHITE STOCKINGS	€11,90		Cottelli Collection white stockings 	4.5	Stockings And Garters							
ELECTRIC LINGERIE STOCKINGS, VERTICAL STRIPES	€12,90		Electric Lingerie Stockings, vertical stripes, colour black. Material: 100% Nylon	ONE	Stockings And Garters							
"TIGHTS ""KITTEN"""	€23,90		Well stretchy and beautifully shiny tights. Material: 85% polyester, 15% elastane. Color: Black 	ONE	Stockings And Garters							
STOCKINGS	€16,90		Material: 100% polyamide 	S/M	Stockings And Garters							
FISHNET THIGH HIGH	€8,90		Material: 100% nylon 	S/L	Stockings And Garters							
BLACK NET STOCKING WITH WHITE LACE	€9,90		Black net Stocking with white lace . Material: Acrylic + Spandex . 	S/L	Stockings And Garters							
STAY-UPS - RED	€10,90		Material: 100% polyamide. 	S|M|L|XL	Stockings And Garters							
COTTELLI COLLECTION STOCKINGS	€19,90		Lace top size (approx.): 14 cm.  Material: 85% polyamide, 15% elastane.	5|6|7	Stockings And Garters							
STOCKINGS M/L	€11,90		92% Polyamide, 8% Elasthane 	M/L	Stockings And Garters							
HOLD-UP STOCKINGS M/L	€13,90		92% Polyamide, 8% Elasthane 	M/L	Stockings And Garters							
BLACK SHEER THIGH HIGH	€9,90		Material: 100% polyester 	S-L	Stockings And Garters							
STOCKINGS	€9,90		Material: nylon 	S-L	Stockings And Garters							
FISHNET THIGH HIGH - QUEEN SIZE	€10,90		Material: 100% nylon 	L/XL	Stockings And Garters							
STAY-UPS WITH RED SATIN RIBBONED TOP	€15,90		Adds drama to any leg - black net-patternd stay-ups with a back seam and a red satin ribboned top. The stockings have a silicone top for a perfect stay-up. Material: 90% polyamide, 10% elastane. 	S/M| M/L	Stockings And Garters							
KINKY TIGHTS	€14,90		Black net patterned tights with diffuse hole design. Reinforced toes. 90% polyamide, 10% elastane. 	S-L	Stockings And Garters							
ADORE ME STOCKINGS, BLACK	€19,90		Fishnet hold up stockings with wide, red, lace cuffs and back seam. 	S/L	Stockings And Garters							
GRAB ME STOCKINGS, XL/XXL	€15,90		Material: 90% polyamide, 10% elasthan 	XL/XXL	Stockings And Garters							
GRAB ME STOCKINGS, S/L	€15,90		Material: 90% polyamide, 10% elasthan 	S/L	Stockings And Garters							
RENE ROFE QUARTER CROTCHET NET THIGHS	€10,90		Material: 100% nylon 	ONE	Stockings And Garters							
RED LACE TOP STOCKINGS	€8,90		Color: red 	ONE	Stockings And Garters							
BLACK LACE TOP FISHNET STOCKINGS	€8,90		Color: black 	ONE	Stockings And Garters							
NO STRESS RED LACE TOP STOCKINGS	€13,90		Color: black/red 	ONE	Stockings And Garters							
NO STRESS STOCKINGS WITH RED BOW	€13,90		Color: black 	ONE	Stockings And Garters							
BLACK HIGH THIGH STOCKINGS	€7,95		Color: black 	ONE	Stockings And Garters							
TAME ME STOCKING, XL/XXL	€19,90		Hold up stockings with zigzag pattern and wide, plain cuffs.Material: 85% polyamide, 15% elasthan	ONE	Stockings And Garters							
SEXY STAR NET WOMEN PANTYHOSE	€5,90		Sexy black net pantyhose with an allover star weave.  Your legs will look more shapely and sexier in the pantyhose.(Skirt and heels not included.). Material : spandex + nylon	ONE	Stockings And Garters							
BLACK SHEER PANTYHOSE WITH POTHOLE PATTERN	€5,95		Do you have a pair of beautiful legs? Do you want to show them? Come on! Black Sheer Pantyhose With Pothole Pattern must be the best enhancer of your slender legs! These sheer pantyhose feature a pothole patterned print that go perfectly with any skirt. Material : spandex+nylon 	S-L	Stockings And Garters							Price
FEEL ME WHITE STOCKING XL/XXL	€15,90		Brand KissMe . Material 100% Polyamide	XL/XXL	Stockings And Garters							
LARGE FLORAL PATTERN GARTER STOCKINGS	€8,90		These sexy, floral pattern stockings feature an attached, matching garter belt. Material: Nylon, Spandex	ONE	Stockings And Garters							671
FLORAL KEYHOLE STOCKINGS WITH ATTACHED GARTER BELT	€8,90		A great essential of wardrobe to pair with any sexy dress and skirt, you sure look much more perfect with this accessory. G string not included.Material: Nylon, Spandex 	ONE	Stockings And Garters							780
BLACK FISHNET STOCKINGS	€8,90		Sexy high stockings together with wide lace top clothes. Material: 88% Nylon, 12% Spandex. 	ONE	Stockings And Garters							1080
BLACK SHEER STOCKINGS	€8,90		A pair of simply patterned stockings made of sheer fabrics have a natural look and feel of sensuality.  Material: 88% Nylon, 12% Spandex. 	ONE	Stockings And Garters							
SHEER PANTYHOSE WITH RHINESTONES QUEEN SIZE	€10,90		Material- 100 % Nylon 	X1-X3	Stockings And Garters							266
CAPTURE ME BLACK HOLD UP STOCKINGS	€17,90		CAPTURE ME BLACK HOLD UP STOCKINGS .Material: 83% Polyamide, 17% Elastane	L/XL	Stockings And Garters							136
BLOOM PRINT LACE PANTYHOSE	€5,95		Black, micro net pantyhose with a flirty, floral bloom print lace pattern. Not only alluring on appearance, but also with high quality, this floral lace pantyhose could be worn for quite a long time yet very friendly to the legs. Wonderful pantyhose to pair with any dress, skirt or shorts. Material : spandex+nylon 	S-L	Stockings And Garters							102
WHITE HOLD-UP FISHNET STOCKINGS	€15,90		HOLD-UP FISHNET STOCKINGS . Color: white. Material: polyamid	S/M|L/XL	Stockings And Garters							
FASHION FIGURED HOSE	€8,90		Fashion Figured Hose. One size. 	ONE	Stockings And Garters							
FISHNET STOCKINGS WITH LACE TOP, RED	€8,90		Hand wash warm, only no-chlorine bleach when needed, drip dry, do not iron. 	ONE	Stockings And Garters							58
NET STAY-UPS	€13,00		Stay-ups with a lace top and a frill running up the back of the leg.  100% polyamide.	L|M|S	Stockings And Garters							507
STOCKINGS	€8,90		The net-pattern is an exciting eye-catcher. With heel. Top quality, skin-tight. 94% Polyamid, 6% Elasthan	3|4|5	Stockings And Garters							258
STAY-UPS BLACK/WHITE	€10,90		Net stay-ups with a waved silicone lace top and trimmed with a satin frill.  Black/rose. 100% polyamide.	L/M	Stockings And Garters							
STAY-UPS, WHITE	€9,90		Glossy satin sheers- in stretch quality and with a lace top. Colour: white.	4.5	Stockings And Garters							
STAY-UPS BLACK/RED	€14,95		Black stay-ups with a red satin ribbon. In the back with a red satin ribbon to tie and a silicone-strengthened top for a perfect fitting! 100%  polyamide.	S|M|L 	Stockings And Garters							
STAY-UPS S	€11,95		White mesh stockings with silicone-strengthened lace top for a perfect fit.  100% polyamide.	S|M|L 	Stockings And Garters							0
SHEER LACE TOP STOCKINGS W WOWEN BOWS AND FLORAL PATTERN, WHITE	€12,90		Sheer Lace Top Stockings w Wowen Bows and Floral Pattern, white . 100% nylon, ,	ONE	Stockings And Garters							79
RIBBON TOP FISHNET THIGH HIGHS	€8,90		Ribbon Top Fishnet Thigh Highs 	ONE	Stockings And Garters							159
STAY-UPS 2-IN-1	€14,90		The 2-in-1 look for your legs: Stay-ups made of opaque and net material in one! Opaque from foot to knee, above with rough net. Lace top  strengthened with silicone.  92% polyamide, 8% spandex.	S/M| M/L	Stockings And Garters							304
STAY-UPS, BLACK	€15,90		Black stay-ups with a lace top and a flamboyant seam running up the back of the leg.  With a silicone-strengthened top for a perfect and non-slip fitting. 100% polyamide. 	S|M|L 	Stockings And Garters							469
FASHION STOCKING WITH POLICE BADGE	€12,90		Fashion Stocking with Police Badge. One size. 	ONE	Stockings And Garters							250
FASHION STOCKING BLACK	€11,90		Fashion Stocking 	ONE	Stockings And Garters							
5 LACE LYCRA SHEER STAY UP THIGH HIGH	€11,90		5 Lace Lycra Sheer Stay Up Thigh High 	ONE	Stockings And Garters							
STAY-UP FENCE NET STOCKINGS	€11,90		Stay-up fence net stockings with 10 cm stretch lace tops. One size. Material : Acrylic+Spandex 	ONE	Stockings And Garters							
BACK SEAM FISHNET STOCKINGS	€11,90		Lycra lace top Fishnet Thigh Highs with backseam and silicon top. One size. Material : Nylon+ cottons 	ONE	Stockings And Garters							
THIGH HIGHS	€11,90		Opaque sheer mesh with sophisticated rear fish net details. 100% polyamide.	M/L	Stockings And Garters							Price
STAY-UPS, BLACK WITH EXTRA WIDE LACE	€13,90		Romantic elegance for your legs! Theses hold ups complete each erotic look. Black with extra wide lace. Beautiful micro-stretch-quality. 88% Polyamid, 12% Elasthan.	1.3	Stockings And Garters							
BLACK NET STAY-UPS	€13,90		The classic style! Fashionable fishnet stay-ups with deluxe self-supporting lace top. 100% polyamide 	S|M|L 	Stockings And Garters							671
SHEER LACE TOP STOCKINGS W WEDDING BELLS AND RIBBON PATTERN, WHI	€12,90		Sheer Lace Top Stockings w Wedding Bells and Ribbon Pattern.  White, 100% nylon, , Hand wash warm, only no-chlorine bleach when needed, drip dry, do not iron.	ONE	Stockings And Garters							
FISHNET STOCKINGS WITH LACE TOP, WHITE	€8,90		Fishnet Stockings with Lace Top. Hand wash warm, only no-chlorine bleach when needed, drip dry, do not iron.	ONE	Stockings And Garters							
"STAY-UPS ""LEO"" 3"	€14,95		These black stay-ups with a silicone-strengthened top in leo design.  With the German Öko-Tex Standard certificate (textile trust). 90% polyamide, 10% spandex.	2|3|4|5	Stockings And Garters							676
WHITE LACE FISHNET STOCKING	€9,90		These are our widest mesh pattern option and are made of a Nylon/acrylic/spandex blend. Flexible as they are comfortable these Lace Fishnet Stockings are a must-have. Material : Acrylic+ Spandex	ONE	Stockings And Garters							
WHITE LACE STOCKINGS	€10,90		Over the knee with lace hem finished. Lace Stockings is bound to give you a touch of gentle and feminity that every girl desires. It will protect  your legs from the burning sun and potray the curvy silhoutte. Material : Acrylic+ Spandex.	ONE	Stockings And Garters							
BLACK CUBAN HEEL THIGH HIGH STOCKING	€8,90		Greatly show your sexy legs in this cuban heel thigh high stockings 	ONE	Stockings And Garters							
WEDDING FASHION STOCKINGS	€11,90		Innocent and seductive in white, these Wedding Fashion Stockings are styled in sheer ten denier nylon with intricate lace trims across the top,  which also features a bow with two chains of beads. These elegant stockings will complete any beautiful bridal ensemble. Material : Nylon.  Color withe.	ONE	Stockings And Garters							
WHITE JACQUARD STOCKINGS	€11,90		Jacquard Stockings are the perfect combination of sexy and fashion. The super stretchy nylon keeps their shape with repeated wear. They are  stretchy yet close-fitting; flattering yet sexy. You will feel comfy while dressing them. Material : 88%Polyester+12%Spandex. Color white.	ONE	Stockings And Garters							499
"STOCKINGS ""HOLD UPS"""	€11,90		15den hold up stockings. 	S|M|L 	Stockings And Garters							73
"STOCKINGS ""RETRO"""	€15,90		Perfectly shaped stockings with a black Cuban heel and a back seam.  Colour: black. Material: 100% polyamide.	2.3	Stockings And Garters							237
LIGHT-COLORED STOCKINGS	€9,90		Sexy sheer tigh highs with stockings contrast top. 	S-L	Stockings And Garters							58
WITHE NET STOCKINGS	€9,90		Brides-to-be, you will get a great deal of entertaining although choosing attractive garter belts and also attractive upper leg high stockings. Material : Acrylic+ Spandex.	ONE	Stockings And Garters							187
FISHNET STOCKINGS	€10,90		Delicate black fishnet stockings with a lace top.  100% polyamide.	S-L	Stockings And Garters							431
STANCE BONDAGE OVER THE KNEE TIGHTS	€9,95		Super Thin! Stance Bondage Over the knee Tights is extremely silky and breathable. Its sophisticated design deeply enchants countless female  come to us. Material : 100% Polyester. Color black. 	ONE	Stockings And Garters							220
"STOCKINGS ""NYLONS"" BROWN"	€14,95		Noble and absolutely erotic! Pretty with heel and seam. 100% polyamide. 	2|3|4 	Stockings And Garters							227
STOCKINGS SKIN	€8,95		Matt glossy stockings with a double-layered top. Preformed, to clip on.  Skin-coloured. 85% polyamide, 15% spandex.	2.3	Stockings And Garters							125
LACE TOP SHEER GARTERBELT WHITE	€9,90		Lace garterbelt with attached sheer lace top thigh highs will look super sexy with any outfit or worn alone! Super soft material. Panty not included. Color: White. Material: 100% Nylon.	S-L	Stockings And Garters							84
NET STAY-UPS BLACK	€15,90		Pure erotic! Black seamless net stay-ups, strengthened with silicone underneath the 4 cm wide lace top. 83% polyamide, 17% elastane. 	N2| N3	Stockings And Garters							79
STAY-UPS CLASSIC	€16,90		The classic one! Black stay-ups with lace top, Cuban heel and back seam. 90% polyamide, 10% elastane.	1/5/15	Stockings And Garters							132
SATIN CROTCHLESS THONG WITH RUFFLE AND GARTER	€13,90		Sumptuous Satin Crotchless Thong with Ruffle and Garter, made from the finest quality soft stretchy fabric. Features satin fabric with a lustrous finish, open crotch design, delicate ruffle trim and adjustable attached garters. Material : 100%Polyester. Color pink/black.	ONE	Stockings And Garters							406
EROTIC OPEN BRA SET WITH SUSPENDERBELT S/M	€24,90		In our new collection - an explosion of sensuality and eroticism! Surprise to your man! He will be delighted! Extremely sexy and provocative set ! SET INCLUDES: bra uncover breast and the strings attached to a suspender belt. This exclusive Set is made of nice to touch material in small hearts,it is adorned with sweet ribbon. Delivered in glossy, bordo gift box.	S/M 	Stockings And Garters							
BLACK OVER KNEE STOCKINGS	€9,90		Fantastic Black Over Knee Stockings with sexy open backside.  Very attractive looks - you will be just irresistible ! 90% Polyamide, 10% Elastane	ONE	Stockings And Garters							250
STAY UPS WITH LACES	€12,90		The black net stockings with red lace top. Stockings have laces. Material: Nylon.	S-L	Stockings And Garters							600
FASHION PANTYHOSE FISHNET	€9,90		Fashion Pantyhose. 	ONE	Stockings And Garters							
"SUSPENDER ""4EVER YOUNG"""	€27,90		Crotchless suspender thong with lace waist band, ruffle detail and satin bow. Material: 85% Polyamide, 15% Elastane	L/XL| S/M	Stockings And Garters							50
LACE SATIN GARTER SKIRT WITH ATTACHED G-STRING	€8,90		Very exotic satin garter skirt enhanced with lace trim. It’s very sensual with the attached g-string which could be worn independent in the sexy  private time, and it also could be matched with other sexy clothes as spicy addition.Color black. Material : polyester + spandex.	S-L	Stockings And Garters							
"BLACK LACE GARTER BELT ""AFFAIR"""	€14,90	€8,90	Lace affair garter belt with adjustable back and satin bow detail.  Material: lace. Color: black.	S/M	Stockings And Garters							11000 PIIR
"WHITE LACE GARTER BELT ""AFFAIR"""	€14,90	€8,90	Lace affair garter belt with adjustable back and satin bow detail. Material: lace. Color: white.	S-L	Stockings And Garters							
"RED LACE GARTERBELT ""AFFAIR"""	€14,90	€8,90	Lace affair garter belt with adjustable back and satin bow detail. Material: lace . Color: red.	S-L	Stockings And Garters							
CHARMING STRETCHY LACE CHEMISE GARTER SET	€22,90		Made from a soft stretch poly fabric, lace surface design with a contrast underlay, this chemise with garter flatters the wearer a curvy figure. Plunge scoop neckline and adjustable straps, contrast piping detailing front. The garter belt holds your stockings in place to make you sexy without any trouble. Material : Polyester+Spandex. 	ONE	Stockings And Garters							
BLACK 2PCS SHEER FLORAL LACE GARTER BELT SET	€15,90		"Seductive strings subtly sewed on the precious lace to fix the moving suspenders! With silky wide ribbon detail on the front and lace-up design to adorn the back! Made by sheer floral lace, Black 2pcs Sheer Floral Lace Garter Belt Set is extremely sultry and tempting. This piece adds extra sexy look and feeling. Features
•2pcs set includes a pair of sexy panties and garters
•Made by soft sheer fabric, comfortable to wear in summer
•The black floral lace lends much sexiness and elegance
•It is a excellent bargain that flaunts your sexiness greatly. Color : Black."	M 	Stockings And Garters							
"GARTER BELT ""WHITE AND BLACK"""	€11,90	€8,90	Beautiful black and white lace garter belt. 	ONE	Stockings And Garters							
SAWTOOTH LACE MINI DRESS	€9,95		Sawtooth lace mini dress with garter belts . Adjustable garter belt with bow detail. Material : 88%nylon+12%spandex.	ONE	Stockings And Garters							
SEXY LACE APRON GARTER BELTS	€8,95		Sexy lace apron garter belts . Adjustable garter belt with bow detail. Material : 88%nylon+12%spandex.	ONE	Stockings And Garters							
FENCE STOCKINGS WITH GARTERS	€8,95		Fence stockings with garters . Adjustable garter belt with bow detail. Material : 88%nylon+12%spandex.	ONE	Stockings And Garters							
BRA AND GARTER BELT SET, BLACK	€39,90		Bra and garter belt set . Color: black. decorated with silver ornaments.	S|M|L|XL	Stockings And Garters							
ENTICINGLY BELT PURPLE XXL/XXXL	€24,90		Seducing Lace Suspender Belt . Color: purple. Material: 90% polyamide, 10% elasthan. 	XXL/XXXL	Stockings And Garters							
BLACK GARTER BELT + STRING S/M	€18,90		Black lace garter belt. Have original clasp on the front. Included string. Material: 90% Polyester, 10% Elastan	ONE	Stockings And Garters							
BLACK LEVEL - SUSPENDER BELT	€17,95		Pitch black and glossy suspender belt with rear elastic strap for a perfect fit. Comes with six adjustable suspender straps. 50% polyester, 50% polyurethane.	S|M|L 	Stockings And Garters							
SEXY STRING WITH SUSPENDERS WHITE	€12,90	€8,90	Seductive string from precious lace with sewed on, moving suspenders! With sweet satin-bows at the front side! Made by sheer lace, Sexy String With Suspenders Lingerie is extremely sultry and tempting. This piece adds extra sexy look and feeling. Show yourself with dear-lover sexy  intimates! Material : 100% polyester.	ONE	Stockings And Garters							
BLACK LEVEL - VINYL SUSPENDER BELT	€25,30		Extra wide, glossy black suspender belt with front buckles and a double hook-and-eye closure in the back. With boning. Four adjustable suspenders. 100% polyester, with polyurethane-coating. 	S|L	Stockings And Garters							
SUSPENDER SET, WHITE	€19,90		White is said to be that innocent, but nevertheless, this set is pure erotic! White lace suspender belt with adjustable suspenders. Simple white stockings included. 100% polyamide. 	M/L|S/M	Stockings And Garters							
CROTCHLESS LACE BOYLEG W. REMOV. GARTERS M/L	€19,90		Crotchless Lace Boyleg with Removeable Garters.Color Black/Pink . 	M/L|S/M	Stockings And Garters							
LACE TOP SHEER GARTERBELT WHITE	€9,90		Super soft material.  Panty not included. Color: White. Material: 100% Nylon.	S-L	Stockings And Garters							
SUSPENDER SET	€19,90		Black lace suspender belt with adjustable suspenders. Simple black stockings included. 100% polyamide. 	M/L|S/M	Stockings And Garters							
CROTCHLESS RUMBA BOYSHORT	€16,90		Crotchless Rumba Ruffle Boyshort, boyshort panties with bow detail, attached garters and an open crotch. 	ONE	Stockings And Garters							
BLACK LACE GARTER BELT	€12,90	€8,90	100%polyester made of this Black Lace Panty Apron Garter Belt with elasticized waistline. The lace hem fishnet stockings sold independent. Cost-effective and perfect to match any piece of your sexy costume and lingerie in the wardrobe since black is an all-match color. 	ONE	Stockings And Garters							
RUFFLED MESH SKIRT WITH SUSPENDER LOOPS	€13,90	€8,90	Sexy flirty! This Ruffled Mesh Skirt with Suspender Loops features to-be-noticed designs that includes black spots mesh apron skirt with flirty vaulted ruffle hem and attached garters with bows, and sheer G-string. Stockings not included. 	ONE	Stockings And Garters							
RISQUE CROTCHLESS BOYLEG PANTY WITH GARTERS	€12,90	€8,90	Risque Crotchless Boyleg Panty with Garters made from the finest quality stretchy fabric. Features sexy sophistication in this pinstripe boyleg panty design with adjustable garter straps. 	ONE	Stockings And Garters							
MINI SKIRT WITH GARTER BELT	€9,90		Great value accessory for your sexy lingerie and costumes in sexy sensual details, this Slut Mini Skirt with Garter Belt features sexy layered mini skirt with enticing sheer look and a bit ruffled trim, attached garter belt and G-string. The sexy stockings of model wearing not included. 	ONE	Stockings And Garters							
SUSPENDER S-L	€17,90		Suspender S-L 	ONE	Stockings And Garters							
BASQUE SET S-L	€22,00		Basque, string and matching stockings with stripes. Black. 100% polyamide.  	ONE	Stockings And Garters							
AVANT-PREMIERE GARTER BELT	€9,90		 Avant-Premiere Garter Belt. Material: acrylic and lace. Color: black.	ONE	Stockings And Garters							
RED GARTER BELT + STRING S/M	€18,90		Red lace garter belt. Have original clasp on the front. Included string. Material: 90% Polyester, 10% Elastan. 	ONE	Stockings And Garters							
BIKINI SET - WHITE	€25,90	€19,90	Bikini set. Color: white. Material: Nylon + Spandex	S|M|L 	Lady Lingerie Sets							
BIKINI SET	€35,90		Datex is brand new material made of natural caoutchouc and very extensible knitted fabric. Because of great extensibility and resistance, Datex is easy to put on. It will make you feel comfortable and ensures traditional latex quality at the same time. 	S|M 	Lady Lingerie Sets							
STRETCH LACE GARTER LINGERIE SET	€12,90		Sexy Stretch lace garter lingerie set. NB! Stockings not included. Material: Polyester, Spandex. Color: black	ONE	Lady Lingerie Sets							
SEDUCTIVE CAPTAIN COSTUME	€24,90		This costume includes studded bra top with fringe cords on shoulder straps and pull up star studded mini skirt with fringe trim. It’s definitely a sweet sensual dessert after dinner. Material: 100% Polyester	ONE	Lady Lingerie Sets							
SEXY MAID COSTUME	€29,90		Sweetheart Sexy Maid Costume of dear-lover includes hair band, matched collar, flirting cap sleeves top with contrast ruffled trim and lace-up back, tutu petticoat. Feather duster not included but you can shop independent from us. Material: 100% Polyester	M|L	Lady Lingerie Sets							
WELL CARE LEATHER NURSE LINGERIE	€25,90		3 Piece Sexy Nurse Costume includes Halter Zipper Front Dress. Material: PVC	M|L|XL	Lady Lingerie Sets							
SCHOOLGIRL UNIFORM	€49,90		3 piece sexy Schoolgirl uniform : - Skirt, - Top, - Tie. Color: red. Material: 100% Polyester. 	XL|XXL|XXXL	Lady Lingerie Sets							
BOARDING SCHOOL CUTIE UNIFORM	€69,90		3 piece Boarding School Cutie Uniform: - Skirt, - Top, - Tie. Material: 70% Polyester, 15% Polyamide, 15% Elastane. 	XL|XXL|XXXL	Lady Lingerie Sets							
CHARMING CHAMBERMAID COSTUME			"Ultra sexy Chambermaid Costume. - Corset-Top
- clear straps
- Puffed skirt
- Arm bands
- Neck piece
- Head band
- Duster"	ONE	Lady Lingerie Sets							
WHITE OPEN CUPS BRA LACE LINGERIE SET	€12,90		"Strike the balance between flirtatious and outrageous. Lace balconet shape under wire cupless bra with bow & bling details, adjustable shoulder straps, fasten by the hook n eye closure on back. The g-string is also adjustable for a perfect fit you want.  Features
•Smooth soft lace created, this bra set is sure to make you sexy and snug
•Enjoy the kind of being cherish feeling in this sexy lingerie
•Sexy lingerie to reduce, discard the outfit and fetch it out instead
•Precious lace makes this bra set more bewitching and dissolute"	ONE	Lady Lingerie Sets							
BLACK OPEN CUPS BRA LACE LINGERIE SET	€12,90		"Strike the balance between flirtatious and outrageous. Lace balconet shape under wire cupless bra with bow & bling details, adjustable shoulder straps, fasten by the hook n eye closure on back. The g-string is also adjustable for a perfect fit you want.  Features
•Smooth soft lace created, this bra set is sure to make you sexy and snug
•Enjoy the kind of being cherish feeling in this sexy lingerie
•Sexy lingerie to reduce, discard the outfit and fetch it out instead
•Precious lace makes this bra set more bewitching and dissolute"	ONE	Lady Lingerie Sets							
TEMPTATION CHEMISE AND THONG SET	€24,90		Lace chemise with lightly padded, underwired cups, ruffled mesh hem, removable garters and thong. Fabric :Acrylic+Spandex. Stockings not included.	ONE	Lady Lingerie Sets							
SEXY BRA WITH MINI SKIRT	€22,90	€9,99	Sexy bra with mini skirt. 	S-L	Lady Lingerie Sets							
BLACK TOP WITH SKIRT	€29,90		Ultra feminine set. 	S/M 36-38	Lady Lingerie Sets							
